2018-Aug-12 15:13:06.443516 INFO    [Core] Block 2100 (3135a1d614dd7843ee2ca31de82ce8bb74a789afa71242bad12be3c569606129) added to main chain
2018-Aug-12 15:13:10.094515 INFO    [Core] Block 2200 (e7f24a218321c7d48ca7fba9fcb36f1d00b44a3afbcf138e8877e7f42c0700ad) added to main chain
2018-Aug-12 15:13:11.732573 INFO    [Core] Block 2300 (221e0508b77587f11f7ced7b5ad6d796c3f39da3e113dd81afe435daabdeecbc) added to main chain
2018-Aug-12 15:13:12.311526 INFO    [Core] Block 2400 (cfcd8935aeb96dd881bae60c5ac4bcb5c5b34c2684c6afea9dc022b1afdef003) added to main chain
2018-Aug-12 15:13:12.954514 INFO    [Core] Block 2500 (07cbdae8ee3c0d88f0091644f9bdb93d5e4b22269c2764a15e7818ae656c88f0) added to main chain
2018-Aug-12 15:13:13.530146 INFO    [Core] Block 2600 (fdddfc7b20046f7cdae8a71fc7f396dcf4b65177f61f949ec678fbdea940cdc4) added to main chain
2018-Aug-12 15:13:14.038775 INFO    [Core] Block 2700 (dcdcc1ae4f4ffea22c914d5eaea6806c6e89430ab0cd4606d784b365807cf0e0) added to main chain
2018-Aug-12 15:13:14.577628 INFO    [Core] Block 2800 (ae64b9b7d569c30e86ec7683bdfa0d08ddde5bb053a82c6a672f404aac9f226a) added to main chain
2018-Aug-12 15:13:15.113019 INFO    [Core] Block 2900 (a122d3b990e2979cd784a45309448b610ce783c456199ef75330465525af5acc) added to main chain
2018-Aug-12 15:13:15.583953 INFO    [Core] Block 3000 (97b55b86f2344658b6b56cf49147bd066dffdd45ea840f4c9636cd222791abe5) added to main chain
2018-Aug-12 15:13:16.184459 INFO    [Core] Block 3100 (157376ee927fe2f1a481e3acf661bf538f53f6f896c59decf2fb645721b97e9c) added to main chain
2018-Aug-12 15:13:16.205516 INFO    [protocol] [185.244.39.31:11897 OUT] Your TurtleCoin node is syncing with the network. You are 700667 blocks (243 days) behind the Hare. Slow and steady wins the race! 
2018-Aug-12 15:13:16.213382 INFO    [protocol] New Top Block Detected: 703768
2018-Aug-12 15:13:16.615054 INFO    [Core] Block 3200 (fa220cdac7edbd88808228a1656910b5c208ede83f48f7fba3108a047ac1c9ae) added to main chain
2018-Aug-12 15:13:17.082292 INFO    [Core] Block 3300 (5048251a1398e73e220e199ff5784b2854fd11359e6ff232fb0f2a809eb8de56) added to main chain
2018-Aug-12 15:13:17.465750 INFO    [Core] Block 3400 (35a425cf8e684b95b068d5f413c0c4cb86d0505cf8bbb30796d0e467dd63a3f9) added to main chain
2018-Aug-12 15:13:17.826075 INFO    [Core] Block 3500 (daadde4ea171cbf210bb2936f5228073e7d655bbdb623aa582715ff42d3bbdd4) added to main chain
2018-Aug-12 15:13:18.234458 INFO    [Core] Block 3600 (949e96e0c187019681c0c8f27f9d630108a3805b4170eb28c4dd4bf3b32743aa) added to main chain
2018-Aug-12 15:13:18.635788 INFO    [Core] Block 3700 (a64dc79f0d0381e793c3f5c0189a905aed8b55bcf9c7a0df97e16e66c0d32c94) added to main chain
2018-Aug-12 15:13:19.016688 INFO    [Core] Block 3800 (47de73cfe989eadaaae07120a136a75dcee6b8c595f9485076bc6124f357857d) added to main chain
2018-Aug-12 15:13:19.386180 INFO    [Core] Block 3900 (87310a11297cc8c60eb8cc24feaacf56a19e82ff494bd98f5966ae64d6a40770) added to main chain
2018-Aug-12 15:13:19.843884 INFO    [Core] Block 4000 (247f8288db53e633f14295f6a0380c77123f233f600d6927820046d99b68ac47) added to main chain
2018-Aug-12 15:13:20.388402 INFO    [Core] Block 4100 (d154eb07d4d784e3ba992cad34b2ee9519a70a269c0046b525e1db5c2fe38a51) added to main chain
2018-Aug-12 15:13:20.841507 INFO    [Core] Block 4200 (f06ab6898ba6429180199603b54cb9d6baa5fa8ca9efed5bb0836faea0f74a04) added to main chain
2018-Aug-12 15:13:21.393586 INFO    [Core] Block 4300 (83739cc1e5f33f034d5c13a1f6fc104f14c1069475dff3cbecf65e762f5e722b) added to main chain
2018-Aug-12 15:13:21.788107 INFO    [Core] Block 4400 (e02bb8f6d694ae8c3b847ada1dd1f3653d30bb04d95e1fcf1234e064f54d2691) added to main chain
2018-Aug-12 15:13:22.130272 INFO    [Core] Block 4500 (4ecf3b570ec4cb0f9eed6cc43f37d723b837d6e179e49693e77d46dbf4d8d68d) added to main chain
2018-Aug-12 15:13:22.504658 INFO    [Core] Block 4600 (e284ae5c2cd2bb77cb291081fe4638f2b97cfd8aee011fcf3f3124a1c2b6177e) added to main chain
2018-Aug-12 15:13:22.817355 INFO    [Core] Block 4700 (5f38aa96fd9b2bd001c6e9a91a267e1213daa00a7ffe87c6207dc504fef67a6d) added to main chain
2018-Aug-12 15:13:23.176601 INFO    [Core] Block 4800 (cd88446feaebd04c7ba30d74cab55066828916c826f68939d25b3c55b471cfe2) added to main chain
2018-Aug-12 15:13:24.892565 INFO    [Core] Block 4900 (bbacc1e8250c89a1e4e92dcee9d643812374cd24761f7bc91f13656184c56b6f) added to main chain
2018-Aug-12 15:13:25.409683 INFO    [checkpoints] CHECKPOINT PASSED FOR INDEX 5000 1325029c8be54b9e027f17ec481a0a361e4821381d1d12de1492e92cd38d4c11
2018-Aug-12 15:13:25.416844 INFO    [Core] Block 5000 (1325029c8be54b9e027f17ec481a0a361e4821381d1d12de1492e92cd38d4c11) added to main chain
2018-Aug-12 15:13:25.845963 INFO    [Core] Block 5100 (dd51390667f6636aabc45dee37ce32cadc0e348a6900175477f871f971efe2ae) added to main chain
2018-Aug-12 15:13:26.367274 INFO    [Core] Block 5200 (b38df1cd6ef2395ed8279fc9a8a52b60f51f41f58d4748095964dfe705178d07) added to main chain
2018-Aug-12 15:13:26.525380 INFO    [protocol] [167.99.47.137:11897 OUT] Your TurtleCoin node is syncing with the network. You are 698567 blocks (242 days) behind the Hare. Slow and steady wins the race! 
2018-Aug-12 15:13:26.704747 INFO    [Core] Block 5300 (0a0517e1c6c6a8a125f0cd338b223f30998599b0470c9acc3f05ce92d18c560b) added to main chain
2018-Aug-12 15:13:27.046634 INFO    [Core] Block 5400 (423462ac5c70e005546f9f2ac21643b49453af3e2148e2bb218b8f56af5d48a6) added to main chain
2018-Aug-12 15:13:27.563575 INFO    [Core] Block 5500 (284692d65c7ddce7de46ac8115e73d5a8abe21901b3ed530ab3fb89cd908a5f3) added to main chain
2018-Aug-12 15:13:27.958757 INFO    [Core] Block 5600 (4754242ec8d4a2a3b332a2de0ead0fcecd7fd025eb465878afe424888a7280fa) added to main chain
2018-Aug-12 15:13:28.296254 INFO    [Core] Block 5700 (7827b2c159032400d6b04e3ab7535c0af1412211b952d5eeacff6d31375b7737) added to main chain
2018-Aug-12 15:13:28.689788 INFO    [Core] Block 5800 (c52ac37888d488ecfb643ffb7a58faacb4cbe94d4d80598f357e6755cbc66a5f) added to main chain
2018-Aug-12 15:13:29.131259 INFO    [Core] Block 5900 (18660f17897dece8adda95e39b2dd16f02b210f6e6e8ec75000092f1e15a2e1a) added to main chain
2018-Aug-12 15:13:29.481814 INFO    [Core] Block 6000 (19be038494c2578e0656677318f049c45c9f5193f62943eab62236d2d0e0b9b4) added to main chain
2018-Aug-12 15:13:29.913818 INFO    [Core] Block 6100 (0f00b7fd5da5252ad12381f1e902aab5d4eaf1600bd4c0c432505b3dcd9871ca) added to main chain
2018-Aug-12 15:13:30.330403 INFO    [Core] Block 6200 (f8b1f319a15e16ea040b54160d74d6692b01739ee9641bc05f1cb1eb5d0221c1) added to main chain
2018-Aug-12 15:13:30.731406 INFO    [Core] Block 6300 (dec567b8be7f20ee45a4cdf38ed3c9014cec586e01bd382bba1161a6fa9b3392) added to main chain
2018-Aug-12 15:13:31.142693 INFO    [Core] Block 6400 (31868b6bc1809e6458b2b03ac15da8730e44d6e5a452242f975cfb1f2172a9d4) added to main chain
2018-Aug-12 15:13:31.532405 INFO    [Core] Block 6500 (bfccf24db5609c684939c4d16ecf978ebaf64e520a91d7f2844b72432668e3d1) added to main chain
2018-Aug-12 15:13:32.048406 INFO    [Core] Block 6600 (77b2c09085e4967e10c3a66e1845cb5ae627512f1eb7458ed08d8d59bb283b65) added to main chain
2018-Aug-12 15:13:32.467407 INFO    [Core] Block 6700 (9765fba456cbf8d5e1b850fe8f4b98c1a7d20a7534cb2ad1641037b851006117) added to main chain
2018-Aug-12 15:13:32.812004 INFO    [Core] Block 6800 (5e433d1313da5bd478e08e307b8b15ccf6992c7193d7499e8a21b1e083bb9259) added to main chain
2018-Aug-12 15:13:33.188371 INFO    [Core] Block 6900 (6e2f8fab1b02f4853f8c050d0c353d6c072a713481bffa70353bf04aae639557) added to main chain
2018-Aug-12 15:13:33.594254 INFO    [Core] Block 7000 (f54938fae25f5bb986f051b607d236a1b04df0dd280fd1860cb457a2ea771836) added to main chain
2018-Aug-12 15:13:33.940566 INFO    [Core] Block 7100 (4bb8af03378074425292a354f111a0e0d7412d227bd590bf7d75bc6ddfac68eb) added to main chain
2018-Aug-12 15:13:34.423727 INFO    [Core] Block 7200 (d70510e4f5ea7c07057502d7cee328a6111ea1348f27b49b232841337b1200b7) added to main chain
2018-Aug-12 15:13:34.785181 INFO    [Core] Block 7300 (0a9ece4fd561cdb221f0b3d42fdbf97ca972bc489b84304b4003b65c83a96be6) added to main chain
2018-Aug-12 15:13:35.237667 INFO    [Core] Block 7400 (daf9ab31284fddbdcb1bfd0b2575f93d3ceab0bba5a28f34777309bd1bd850b9) added to main chain
